Index,ID,Name,Intake,Subject Code,Subject Name,Grade,Comment,Programme,Email,,,Legend,,
1,A0001,Anya Taylor-Joy,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,,,e,Exempted without Credit Transfer,
2,A0001,Anya Taylor-Joy,Jun-25,KBEN1033N,Oral Communication,A+,#N/A,UEIS,A0001@uow.edu.my,,,ct,Credit Transferred,
3,A0001,Anya Taylor-Joy,Jun-25,XBCS1043N,Computing Mathematics,n,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,,n,To Take (n : registered for Next semester),
4,A0001,Anya Taylor-Joy,Jun-25,XBCS1143N,Application Development,n,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,,o,Passed,
5,A0001,Anya Taylor-Joy,Jun-25,XBCS1183N,Database Management & Security,n,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,,x,Failed and needs to retake,
6,A0001,Anya Taylor-Joy,Jun-25,MPU3333N,Integrity and Anti Corruption,B,#N/A,UEIS,A0001@uow.edu.my,,,1,Retaking this semester,
7,A0001,Anya Taylor-Joy,Jun-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,,,v,Just Completed and Passed (w : Partial POST),
8,A0001,Anya Taylor-Joy,Jun-25,XBCS1123N,Statistics,n,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,,0.5,Taking this semester (magenta: taken in previous 0.5 sem),
9,A0001,Anya Taylor-Joy,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,e,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,,,Int/, (wd: Withdrawn),
10,A0001,Anya Taylor-Joy,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,,,,,
11,A0001,Anya Taylor-Joy,Jun-25,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,,,,,
12,A0002,Austin Butler,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,Grade,Percentage Range (%),Grade Point (CGPA)
13,A0002,Austin Butler,Jun-25,KBEN1033N,Oral Communication,n,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,,A+,90–100,4
14,A0002,Austin Butler,Jun-25,XBCS1043N,Computing Mathematics,n,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,,A,80–89.9,4
15,A0002,Austin Butler,Jun-25,XBCS1143N,Application Development,n,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,,A-,75–79.9,3.7
16,A0002,Austin Butler,Jun-25,XBCS1183N,Database Management & Security,n,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,,B+,70–74.9,3.3
17,A0002,Austin Butler,Jun-25,MPU3333N,Integrity and Anti Corruption,n,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,,B,65–69.9,3
18,A0002,Austin Butler,Jun-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,C+,60–64.9,2.3
19,A0002,Austin Butler,Jun-25,MPU3213,Bahasa Kebangsaan A,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,C,55–59.9,2
20,A0002,Austin Butler,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,D+,50–54.9,1.3
21,A0002,Austin Butler,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,D,45–49.9,1
22,A0002,Austin Butler,Jun-25,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,,,F,<45,0
